序號,餐廳編號,餐廳名稱,餐點編號,菜牌編號,餐點名稱,英文名稱,據點,建檔日期
1088,WCWXC,瓦城無限廚房,08FZBCJV,WCWXC-08FZBCJV,炸雞腿飯便當,Fried Chicken Leg Rice Bento,聯發科瑞光,2025-06-13 10:07:06
1102,XJYKR,鑫吉野烤肉飯,81JWTEDY,XJYKR-81JWTEDY,烤肉飯,Grilled Meat Rice,聯發科瑞光,2025-06-13 10:07:06
1107,WDMW,吳獨麵屋,19DOLOZI,WDMW-19DOLOZI,澄清蔬果土雞湯麵,Clear Vegetable & Fruit Chicken Noodle Soup,聯發科瑞光,2025-06-13 10:07:06
1112,ASK,愛食客,45ZTOKVK,ASK-45ZTOKVK,蒜味舒肥雞胸(無飯),Garlic Sous Vide Chicken Breast (No Rice),聯發科瑞光,2025-06-13 10:07:06
1117,YHJD,一號基地,56NZPBIS,YHJD-56NZPBIS,炸雞排,Fried Chicken Cutlet,聯發科瑞光,2025-06-13 10:07:06
